branch_junction_baseline;branch_junction_testimonium1;branch_junction_testimonium2;branch_junction_dataset
0xbf7f699c17ebe5772162ed5e7e818eb2b8cc33d2f8624f9bae5916cd5e7821f5;0xbf7f699c17ebe5772162ed5e7e818eb2b8cc33d2f8624f9bae5916cd5e7821f5;0xbf7f699c17ebe5772162ed5e7e818eb2b8cc33d2f8624f9bae5916cd5e7821f5;0xbf7f699c17ebe5772162ed5e7e818eb2b8cc33d2f8624f9bae5916cd5e7821f5
0x0216963bfa7666d8cc3bb8e706c444a532d00159796b2f25e2d21703fc3f2bd9;0x0216963bfa7666d8cc3bb8e706c444a532d00159796b2f25e2d21703fc3f2bd9;0x0216963bfa7666d8cc3bb8e706c444a532d00159796b2f25e2d21703fc3f2bd9;0x0216963bfa7666d8cc3bb8e706c444a532d00159796b2f25e2d21703fc3f2bd9
0xd058943ff273bdea3570c07b42bf338e1c42ec73e3c40159e56c720e74e5d007;0xd058943ff273bdea3570c07b42bf338e1c42ec73e3c40159e56c720e74e5d007;0xd058943ff273bdea3570c07b42bf338e1c42ec73e3c40159e56c720e74e5d007;0xd058943ff273bdea3570c07b42bf338e1c42ec73e3c40159e56c720e74e5d007
0x7175fc8b1c3ea9fe97cf1cf33bd3ac2e93fa9b686c15225b5d00d9534828338b;0x7175fc8b1c3ea9fe97cf1cf33bd3ac2e93fa9b686c15225b5d00d9534828338b;0x7175fc8b1c3ea9fe97cf1cf33bd3ac2e93fa9b686c15225b5d00d9534828338b;0x7175fc8b1c3ea9fe97cf1cf33bd3ac2e93fa9b686c15225b5d00d9534828338b
0xd61c07b3ae9196a756792c09e1e0e298a331bf20d8bd1e29d2db138d98a0cdbf;0xd61c07b3ae9196a756792c09e1e0e298a331bf20d8bd1e29d2db138d98a0cdbf;0xd61c07b3ae9196a756792c09e1e0e298a331bf20d8bd1e29d2db138d98a0cdbf;0xd61c07b3ae9196a756792c09e1e0e298a331bf20d8bd1e29d2db138d98a0cdbf
0x31fabb3ab78c1a0cd3cce0ab8317c49f3a3681e750ec4366f6474ab2ee1ba08f;0x31fabb3ab78c1a0cd3cce0ab8317c49f3a3681e750ec4366f6474ab2ee1ba08f;0x31fabb3ab78c1a0cd3cce0ab8317c49f3a3681e750ec4366f6474ab2ee1ba08f;0x31fabb3ab78c1a0cd3cce0ab8317c49f3a3681e750ec4366f6474ab2ee1ba08f
0x8edcbdc8f3573b276606c828e16ac78b8c6538e09a449fb502f92b700feabb1b;0x8edcbdc8f3573b276606c828e16ac78b8c6538e09a449fb502f92b700feabb1b;0x8edcbdc8f3573b276606c828e16ac78b8c6538e09a449fb502f92b700feabb1b;0x8edcbdc8f3573b276606c828e16ac78b8c6538e09a449fb502f92b700feabb1b
0x9b4b1a5cbaa4d7e50ba22820afc468da915d186ad605f8743141b0f3a25533d7;0x9b4b1a5cbaa4d7e50ba22820afc468da915d186ad605f8743141b0f3a25533d7;0x9b4b1a5cbaa4d7e50ba22820afc468da915d186ad605f8743141b0f3a25533d7;0x9b4b1a5cbaa4d7e50ba22820afc468da915d186ad605f8743141b0f3a25533d7
0xca1d2cf57b0ac7c357edd3c0b48565cd9c09da2018c17c685ab8b0e0a332ef44;0xca1d2cf57b0ac7c357edd3c0b48565cd9c09da2018c17c685ab8b0e0a332ef44;0xca1d2cf57b0ac7c357edd3c0b48565cd9c09da2018c17c685ab8b0e0a332ef44;0xca1d2cf57b0ac7c357edd3c0b48565cd9c09da2018c17c685ab8b0e0a332ef44
0x3b6dc4484ac46a1b4a9b3fa4170c110e8538ea40822d024cb0882fa81c731414;0x3b6dc4484ac46a1b4a9b3fa4170c110e8538ea40822d024cb0882fa81c731414;0x3b6dc4484ac46a1b4a9b3fa4170c110e8538ea40822d024cb0882fa81c731414;0x3b6dc4484ac46a1b4a9b3fa4170c110e8538ea40822d024cb0882fa81c731414
0x88979fbb9ae5ace10340ff635b70462ab8983e824f6e46862245fd6232f7c710;0x88979fbb9ae5ace10340ff635b70462ab8983e824f6e46862245fd6232f7c710;0x88979fbb9ae5ace10340ff635b70462ab8983e824f6e46862245fd6232f7c710;0x88979fbb9ae5ace10340ff635b70462ab8983e824f6e46862245fd6232f7c710
0x8e5fb63064578521baad68493cb7c266df6afacddf996279e92c3e3a7ac0dfa6;0x8e5fb63064578521baad68493cb7c266df6afacddf996279e92c3e3a7ac0dfa6;0x8e5fb63064578521baad68493cb7c266df6afacddf996279e92c3e3a7ac0dfa6;0x8e5fb63064578521baad68493cb7c266df6afacddf996279e92c3e3a7ac0dfa6
0x40b6401c1c0581bcbd8a87374d5cca05c249149a6d4af35521ca1c769bca3415;0x40b6401c1c0581bcbd8a87374d5cca05c249149a6d4af35521ca1c769bca3415;0x40b6401c1c0581bcbd8a87374d5cca05c249149a6d4af35521ca1c769bca3415;0x40b6401c1c0581bcbd8a87374d5cca05c249149a6d4af35521ca1c769bca3415
0x2ea43ae66f5fa831f680204e9a70d75ce566cf6e094bf8e15c1cdb4d86c4a32f;0x2ea43ae66f5fa831f680204e9a70d75ce566cf6e094bf8e15c1cdb4d86c4a32f;0x2ea43ae66f5fa831f680204e9a70d75ce566cf6e094bf8e15c1cdb4d86c4a32f;0x2ea43ae66f5fa831f680204e9a70d75ce566cf6e094bf8e15c1cdb4d86c4a32f
0x77612f76907ac971487ff6cabbbd4d575771b39b768191e5e795a5a80314b083;0x77612f76907ac971487ff6cabbbd4d575771b39b768191e5e795a5a80314b083;0x77612f76907ac971487ff6cabbbd4d575771b39b768191e5e795a5a80314b083;0x77612f76907ac971487ff6cabbbd4d575771b39b768191e5e795a5a80314b083
0x8f30957d77a3d13a21de8d76cf89da53593d4937e806d0ce9e4ab92b46eee4c0;0x8f30957d77a3d13a21de8d76cf89da53593d4937e806d0ce9e4ab92b46eee4c0;0x8f30957d77a3d13a21de8d76cf89da53593d4937e806d0ce9e4ab92b46eee4c0;0x8f30957d77a3d13a21de8d76cf89da53593d4937e806d0ce9e4ab92b46eee4c0
0x7c2dc2dfdbadb06a62a634d24512bfce21d67a3423660ad1d23fb745e7603a3c;0x7c2dc2dfdbadb06a62a634d24512bfce21d67a3423660ad1d23fb745e7603a3c;0x7c2dc2dfdbadb06a62a634d24512bfce21d67a3423660ad1d23fb745e7603a3c;0x7c2dc2dfdbadb06a62a634d24512bfce21d67a3423660ad1d23fb745e7603a3c
0xc13f8333bd179ba971a411c21044a78acb299a6be04170056a404b5a24e7c3b4;0xc13f8333bd179ba971a411c21044a78acb299a6be04170056a404b5a24e7c3b4;0xc13f8333bd179ba971a411c21044a78acb299a6be04170056a404b5a24e7c3b4;0xc13f8333bd179ba971a411c21044a78acb299a6be04170056a404b5a24e7c3b4
0x8bdb2809dd52f7b401691a672ac50e748127e6fbc32b11a3d0fda82083aa27ed;0x8bdb2809dd52f7b401691a672ac50e748127e6fbc32b11a3d0fda82083aa27ed;0x8bdb2809dd52f7b401691a672ac50e748127e6fbc32b11a3d0fda82083aa27ed;0x8bdb2809dd52f7b401691a672ac50e748127e6fbc32b11a3d0fda82083aa27ed
0x415cbde12b6504af1f287fb06f6b5059914f366e60cece22f9a33e12ec700340;0x415cbde12b6504af1f287fb06f6b5059914f366e60cece22f9a33e12ec700340;0x415cbde12b6504af1f287fb06f6b5059914f366e60cece22f9a33e12ec700340;0x415cbde12b6504af1f287fb06f6b5059914f366e60cece22f9a33e12ec700340
0xa8920a64611c481b1f3278ad1ab1095f7d1fc38f5b18109011f64a70f4770ba2;0xa8920a64611c481b1f3278ad1ab1095f7d1fc38f5b18109011f64a70f4770ba2;0xa8920a64611c481b1f3278ad1ab1095f7d1fc38f5b18109011f64a70f4770ba2;0xa8920a64611c481b1f3278ad1ab1095f7d1fc38f5b18109011f64a70f4770ba2
0xfa43526e537a039ce9be27d3f09593ce063547e684de3c3822d96d232d23a77f;0xfa43526e537a039ce9be27d3f09593ce063547e684de3c3822d96d232d23a77f;0xfa43526e537a039ce9be27d3f09593ce063547e684de3c3822d96d232d23a77f;0xfa43526e537a039ce9be27d3f09593ce063547e684de3c3822d96d232d23a77f
0xad1f7e153cc8b15583c5abfaf9f2b2f54066bf3780195dc797583f02bdf8021b;0xad1f7e153cc8b15583c5abfaf9f2b2f54066bf3780195dc797583f02bdf8021b;0xad1f7e153cc8b15583c5abfaf9f2b2f54066bf3780195dc797583f02bdf8021b;0xad1f7e153cc8b15583c5abfaf9f2b2f54066bf3780195dc797583f02bdf8021b
0xcefb7ca46dc7275322d7be1902837d112d0f56472ffa24e670cbb8bd42b0126b;0xcefb7ca46dc7275322d7be1902837d112d0f56472ffa24e670cbb8bd42b0126b;0xcefb7ca46dc7275322d7be1902837d112d0f56472ffa24e670cbb8bd42b0126b;0xcefb7ca46dc7275322d7be1902837d112d0f56472ffa24e670cbb8bd42b0126b
0x88baa790ecfc19f6e97aa75706040ef7ea6b79d7a867d05246e15719f759f041;0x88baa790ecfc19f6e97aa75706040ef7ea6b79d7a867d05246e15719f759f041;0x88baa790ecfc19f6e97aa75706040ef7ea6b79d7a867d05246e15719f759f041;0x88baa790ecfc19f6e97aa75706040ef7ea6b79d7a867d05246e15719f759f041
0x60c9c21fbfa351e1b3267aecd0518c95a401b32541ae8a7db41524522ea07ad8;0x60c9c21fbfa351e1b3267aecd0518c95a401b32541ae8a7db41524522ea07ad8;0x60c9c21fbfa351e1b3267aecd0518c95a401b32541ae8a7db41524522ea07ad8;0x60c9c21fbfa351e1b3267aecd0518c95a401b32541ae8a7db41524522ea07ad8
0xf039bf5037efa38fd13cc8eb6cf1762740821cd19c4939d69992b8fffad2a144;0xf039bf5037efa38fd13cc8eb6cf1762740821cd19c4939d69992b8fffad2a144;0xf039bf5037efa38fd13cc8eb6cf1762740821cd19c4939d69992b8fffad2a144;0xf039bf5037efa38fd13cc8eb6cf1762740821cd19c4939d69992b8fffad2a144
0x7c2491e6de2a47f9b50e98bcf89b82ee157d00cdb46eb968f8a5fd9ee98c007c;0x7c2491e6de2a47f9b50e98bcf89b82ee157d00cdb46eb968f8a5fd9ee98c007c;0x7c2491e6de2a47f9b50e98bcf89b82ee157d00cdb46eb968f8a5fd9ee98c007c;0x7c2491e6de2a47f9b50e98bcf89b82ee157d00cdb46eb968f8a5fd9ee98c007c
0x203170deefc053c20c350a19ee677d7a1b07d7874f54bf8f86d9aebcae3b753b;0x203170deefc053c20c350a19ee677d7a1b07d7874f54bf8f86d9aebcae3b753b;0x203170deefc053c20c350a19ee677d7a1b07d7874f54bf8f86d9aebcae3b753b;0x203170deefc053c20c350a19ee677d7a1b07d7874f54bf8f86d9aebcae3b753b
0x43519d1472c24f608bc027e84d5fc637f7d8825050dd56ef495080706cff68f3;0x43519d1472c24f608bc027e84d5fc637f7d8825050dd56ef495080706cff68f3;0x43519d1472c24f608bc027e84d5fc637f7d8825050dd56ef495080706cff68f3;0x43519d1472c24f608bc027e84d5fc637f7d8825050dd56ef495080706cff68f3
0xbfe828e764fc4eed8bdb955bdb855afa68c673ed7af3cd4376a0885dbaf7fd09;0xbfe828e764fc4eed8bdb955bdb855afa68c673ed7af3cd4376a0885dbaf7fd09;0xbfe828e764fc4eed8bdb955bdb855afa68c673ed7af3cd4376a0885dbaf7fd09;0xbfe828e764fc4eed8bdb955bdb855afa68c673ed7af3cd4376a0885dbaf7fd09
0x0aa6375524270c6794a7ea10602e66aca25e45cbd8e098bfdb0de1a271673d02;0x0aa6375524270c6794a7ea10602e66aca25e45cbd8e098bfdb0de1a271673d02;0x0aa6375524270c6794a7ea10602e66aca25e45cbd8e098bfdb0de1a271673d02;0x0aa6375524270c6794a7ea10602e66aca25e45cbd8e098bfdb0de1a271673d02
