run;block_number;dispute_optimistic;dispute_optimized
1;9121453;2809424;3139820
2;9121454;2663405;3110009
3;9121455;2517055;3079866
4;9121456;2370705;3049723
5;9121457;2224355;3019580
6;9121458;2078005;2989437
7;9121459;1931655;2959294
8;9121460;1927653;2929151
9;9121461;2049242;2865116
10;9121462;2104228;2821338
11;9121463;2159215;2777560
12;9121464;2214201;2733782
13;9121465;2267394;2686248
14;9121466;2324174;2646226
15;9121467;2376470;2596814
16;9121468;2434147;2558670
17;9121469;2489134;2514892
18;9121470;2540084;2462663
19;9121471;2594622;2417946
20;9121472;2649160;2373229
21;9121473;2709080;2339780
22;9121474;2758236;2304398
23;9121475;2819053;2341112
24;9121476;2874039;2371723
25;9121477;2929026;2402334
26;9121478;2976388;2424964
27;9121479;3038999;2463556
28;9121480;3085464;2485247
29;9121481;3148972;2524778
30;9121482;3203958;2555389
31;9121483;3258945;2586000
32;9121484;3303616;2605813
33;9121485;;2647222
34;9121486;;2666096
35;9121487;;2696237
36;9121488;;2726379
37;9121489;;2756520
38;9121490;;2800277
39;9121491;;2816803
40;9121492;;2861499
41;9121493;;2877086
42;9121494;;2907228
43;9121495;;2953332
44;9121496;;2983943
45;9121497;;2997652
46;9121498;;3027794
47;9121499;;3075776
48;9121500;;3106387
49;9121501;;3136998
50;9121502;;3167609
51;9121503;;3178501
52;9121504;;3228831
53;9121505;;3259442
54;9121506;;3290053
55;9121507;;3320664
56;9121508;;3351275
